Name, Position, Year,Spot, Games, WS, VORP, PER, TS, BPM 
Oscar Robertson, PG,1960,1,1040,0.207,1.3,23.2,0.564,0
Jerry West, PG,1960,2,932,0.213,1.7,22.9,0.55,5
Darrall Imhoff, C,1960,3,801,0.081,0,12.3,0.49,0
Jackie Moreland, PF,1960,4,582,0.067,0,13,0.466,0
Lee Shaffer, SF,1960,5,196,0.072,0,14.6,0.467,0
Lenny Wilkens, PG,1960,6,1077,0.12,3.7,16.8,0.511,2
Jay Arnette, ,1960,9,114,0.006,0,7.7,0.421,0
Dave Budd, SF,1960,10,353,0.088,0,12.7,0.508,0
Ron Johnson, ,1960,12,14,-0.054,0,7.5,0.366,0
Frank Radovich, ,1960,14,37,0.006,0,9.8,0.417,0
Leroy Wright, PF,1960,16,27,0.026,0,5.7,0.383,0
Walt Bellamy, C,1961,1,1043,0.16,1.4,19.8,0.554,0.2
Tom Stith, SF,1961,2,25,-0.143,0,6.5,0.337,0
Larry Siegfried, PG,1961,3,550,0.116,0,13.7,0.488,0
Ray Scott, PF,1961,4,811,0.07,0,15.9,0.463,0
Wayne Yates, C,1961,5,37,-0.085,0,4.1,0.314,0
Ben Warley, SF,1961,6,436,0.095,0,14,0.505,0
Tom Meschery, PF,1961,7,778,0.089,0,13.1,0.492,0
Cleo Hill, SG,1961,8,58,0.015,0,9.1,0.433,0
Gary Phillips, SG,1961,9,348,0.016,0,8.2,0.41,0
Bob Wiesenhahn, SF,1961,11,60,-0.107,0,7.5,0.342,0
Johnny Egan, PG,1961,12,712,0.079,0,12.1,0.493,0
Chris Smith, PG,1961,14,2,-0.02,0,0, ,-6.2
Ted Luckenbill, PF,1961,15,87,0.029,0,8.3,0.426,0
Ron Horn, SF,1961,16,32,-0.038,0,5,0.357,0
Al Butler, PG,1961,17,234,0.067,0,13,0.481,0
Jack Turner, SG,1961,18,42,-0.002,0,8.7,0.418,0
York Larese, SG,1961,20,59,0.02,0,9.2,0.421,0
Don Kojis, SF,1961,21,814,0.089,0.3,14.9,0.492,-1.5
Doug Moe, SF,1961,22,378,0.101,0,16.2,0.495,0
Bill McGill, C,1962,1,295,0.159,0,19,0.549,0
Paul Hogue, C,1962,2,65,-0.036,0,7.1,0.387,0
Zelmo Beaty, C,1962,3,889,0.171,1.7,18.7,0.554,-0.1
Len Chappell, PF,1962,4,670,0.088,0,15.6,0.498,0
Wayne Hightower, PF,1962,5,565,0.058,0,13.1,0.455,0
Leroy Ellis, C,1962,6,1048,0.081,1.9,13.2,0.484,-0.7
John Havlicek, SF,1962,7,1270,0.136,12.5,17.5,0.492,1.4
Terry Dischinger, SF,1962,8,652,0.152,0,16.3,0.559,0
John Rudometkin, SF,1962,9,131,0.03,0,13.3,0.456,0
Bob Duffy, PG,1962,10,94,0.022,0,10.8,0.432,0
Kevin Loughery, SG,1962,11,755,0.064,0,13.7,0.472,0
Chet Walker, SF,1962,12,1032,0.168,5.6,17.6,0.54,2.3
Hubie White, SG,1962,14,120,-0.025,0,8.5,0.411,0
Gene Wiley, C,1962,15,309,0.062,0,9.3,0.481,0
Jack Foley, ,1962,16,11,0.057,0,15.6,0.46,0
Dave DeBusschere, PF,1962,17,875,0.093,2.5,15.5,0.472,1.7
Jerry Lucas, PF,1962,18,829,0.147,0.8,18.9,0.544,-0.1
Art Heyman, SG,1963,1,310,0.112,0,16,0.501,0
Rod Thorn, SG,1963,2,466,0.08,0,14.5,0.485,0
Nate Thurmond, C,1963,3,964,0.104,6.3,16.5,0.47,1.3
Eddie Miles, SG,1963,4,605,0.075,0,13.7,0.483,0
Gerry Ward, SG,1963,5,169,0.023,0,6.6,0.409,0
Tom Hoover, C,1963,6,223,0.085,0,10.2,0.497,0
Roger Strickland, ,1963,7,1,-0.224,0,-0.1,0.333,0
Jerry Harkness, PG,1963,9,86,0.102,0,13.8,0.504,0
Gus Johnson, PF,1963,10,631,0.085,0,16.7,0.476,0
Gary Hill, SG,1963,11,79,0.016,0,7.4,0.402,0
Jerry Smith, PG,1963,12,5,-0.007,0,7.8,0.25,-1.7
Jim King, PG,1963,13,607,0.076,0,11.8,0.474,0
Leland Mitchell, SG,1963,14,78,0.026,0,3.7,0.414,0
Mel Gibson, ,1963,16,9,-0.119,0,2.5,0.311,0
Tom Thacker, PG,1963,18,314,-0.004,0,7.4,0.388,0
Jim Barnes, PF,1964,1,454,0.072,0,12.5,0.477,0
Joe Caldwell, SF,1964,2,782,0.072,3,14.7,0.489,1.4
Gary Bradds, ,1964,3,254,0.145,0,18.8,0.55,0
Jeff Mullins, SG,1964,5,804,0.123,0.8,16.3,0.507,-1.2
Barry Kramer, SF,1964,6,59,0.007,0,9.3,0.414,0
Mel Counts, C,1964,7,789,0.097,0.8,15.3,0.479,-0.5
Willis Reed, C,1964,8,650,0.156,0.3,18.6,0.523,0.5
Les Hunter, PF,1964,9,468,0.103,0,14.8,0.495,0
Paul Silas, PF,1964,10,1254,0.11,8.5,13.9,0.489,0.2
Ira Harge, C,1964,11,427,0.059,0,12.5,0.487,0
Howard Komives, PG,1964,13,742,0.012,-0.8,10.7,0.444,-5.8
Bud Koper, SG,1964,14,54,0.078,0,10.6,0.476,0
Ron Bonham, SF,1964,16,118,0.116,0,16.7,0.476,0
George Wilson, C,1964,17,410,0.004,0,11.3,0.425,0
Walt Hazzard, PG,1964,18,724,0.076,-0.2,15,0.491,-3.2
Fred Hetzel, SF,1965,1,416,0.086,0,14.5,0.482,0
Rick Barry, SF,1965,2,1020,0.162,25.8,21,0.525,3.2
Dave Stallworth, SF,1965,3,522,0.093,0.1,14.4,0.491,-1.5
Jerry Sloan, SG,1965,4,755,0.092,5.1,13.2,0.477,1.3
Billy Cunningham, SF,1965,5,770,0.141,6.2,20,0.509,3.3
Jim Washington, PF,1965,6,774,0.083,0.7,12.6,0.494,-1.3
Nate Bowman, C,1965,7,261,0.021,0,9.2,0.41,0
Ollie Johnson, SF,1965,8,690,0.089,2.5,12.8,0.538,-1.2
Will Frazier, PF,1965,9,153,0.064,0,14.8,0.458,0
Dick Van Arsdale, SG,1965,10,921,0.114,0.9,14.4,0.537,-1.6
Tom Van Arsdale, SF,1965,11,929,0.061,-3.1,13,0.487,-3.3
Jesse Branson, SF,1965,13,83,0.146,0,19.2,0.499,0
Flynn Robinson, PG,1965,15,543,0.127,0,17.5,0.516,-2.1
John Fairchild, SF,1965,16,165,0.037,0,11.9,0.459,0
Ron Watts, ,1965,17,28,-0.062,0,8.9,0.356,0
Gail Goodrich, SG,1965,18,1031,0.109,5.6,16.7,0.514,-0.4
Bill Buntin, C,1965,19,42,0.062,0,13.3,0.448,0
Bill Bradley, SF,1965,20,742,0.082,-0.8,12.2,0.486,-2.3
Cazzie Russell, SF,1966,1,817,0.112,0.1,15.8,0.506,-2
Dave Bing, PG,1966,2,901,0.101,8.5,17.6,0.502,0.6
Clyde Lee, C,1966,3,742,0.081,-0.6,11.9,0.47,-2.4
Lou Hudson, SG,1966,4,890,0.131,5.9,17.4,0.532,0.1
Jack Marin, SF,1966,5,849,0.116,-1.4,15.2,0.516,-2.8
Walt Wesley, C,1966,6,590,0.044,-0.1,13.6,0.471,-2.8
Jerry Chambers, SF,1966,7,320,0.049,0,13.2,0.479,-1.9
Jim Barnett, SG,1966,8,732,0.092,-0.3,14.6,0.492,-2.2
Matt Guokas, SG,1966,9,735,0.077,-2.2,9.8,0.524,-3.8
Dave Schellhase, PG,1966,10,73,-0.061,0,8.6,0.378,0
Henry Akin, PF,1966,11,88,-0.081,0,7.4,0.383,0
Dorie Murrey, PF,1966,12,357,0.07,0,11.7,0.49,0
Joe Ellis, SF,1966,13,524,0.023,-0.4,12.1,0.434,-5.2
Dick Snyder, SG,1966,14,964,0.109,4,14.1,0.531,-0.5
Neil Johnson, PF,1966,15,380,0.095,0,14,0.52,0
Hank Finkel, C,1966,17,551,0.094,-0.7,12.6,0.487,-4.9
Bill Melchionni, PG,1966,19,646,0.082,-1.3,13.8,0.511,-3.4
Erwin Mueller, PF,1966,20,445,0.045,-0.1,11.1,0.464,-16.9
Jimmy Walker, SG,1967,1,698,0.087,0.7,14.4,0.515,-1.7
Earl Monroe, SG,1967,2,926,0.125,7.1,17.2,0.517,0
Clem Haskins, SG,1967,3,681,0.097,0.5,15.2,0.498,-1.4
Walt Frazier, PG,1967,5,825,0.176,20.9,19.1,0.542,4.1
Al Tucker, PF,1967,6,352,0.072,0,13.1,0.5,0
Pat Riley, SG,1967,7,528,0.026,-3.2,11.3,0.451,-6
Tom Workman, ,1967,8,125,0.115,0,15.9,0.513,0
Mel Daniels, C,1967,9,639,0.138,0.6,20.1,0.507,-1.5
Dave Lattin, PF,1967,10,263,0.072,0,13.6,0.515,0
Mal Graham, PG,1967,11,70,0.043,0,8.3,0.44,0
Craig Raymond, C,1967,12,241,0.076,0,10.9,0.488,0
Jimmy Jones, PG,1967,13,686,0.161,4.7,17.1,0.567,1.2
Byron Beck, C,1967,15,747,0.137,1.9,16.3,0.54,-0.7
Randolph Mahaffey, PF,1967,16,321,0.084,0,12.3,0.493,0
Phil Jackson, PF,1967,17,807,0.099,3.3,12.5,0.508,-0.5
Bob Netolicky, PF,1967,18,618,0.112,0.1,17.4,0.525,-1.8
Bob Rule, C,1967,19,403,0.092,-0.2,16.6,0.503,-3.5
Elvin Hayes, PF,1968,1,1303,0.116,23.3,17.7,0.491,0.9
Wes Unseld, C,1968,2,984,0.147,32.8,16,0.537,4.4
Bob Kauffman, PF,1968,3,525,0.111,0.2,16.8,0.533,-1.6
Tom Boerwinkle, C,1968,4,635,0.127,7.5,16.3,0.491,3.8
Zaid Abdul-Aziz, C,1968,5,505,0.076,2.1,15.1,0.479,-0.1
Otto Moore, C,1968,6,682,0.07,3.3,13.1,0.481,0
Charlie Paulk, PF,1968,7,120,-0.026,0,9.8,0.418,0
Gary Gregor, SF,1968,8,361,0.023,-0.1,11.7,0.462,-2.8
Ron Williams, PG,1968,9,516,0.098,-0.8,13.5,0.501,-3.8
Bill Hewitt, PF,1968,11,361,0.033,-0.1,10.1,0.458,-2.8
Don Chaney, SG,1968,12,790,0.092,4.6,11.6,0.482,-0.3
Skip Harlicka, PG,1968,13,26,0.119,0,14.8,0.511,0
Shaler Halimon, SF,1968,14,254,0.006,0,11.8,0.432,0
John Trapp, SF,1968,15,303,0.058,0,10.7,0.46,0
Art Harris, SG,1968,16,238,-0.016,0,9.4,0.424,0
Loy Petersen, SG,1968,17,69,0.021,0,9.5,0.436,0
Bob Quick, SF,1968,18,142,0.107,0,13.4,0.529,0
Dick Cunningham, C,1968,21,358,0.054,-0.1,10.5,0.444,-11.8
Gene Moore, C,1968,22,465,0.101,0.1,15.8,0.5,-1.6
Kareem Abdul-Jabbar, C,1969,1,1560,0.228,86,24.6,0.592,5.8
Neal Walk, C,1969,2,568,0.105,3.7,16.9,0.501,0.8
Lucius Allen, PG,1969,3,702,0.1,7.6,15.5,0.504,0.5
Terry Driscoll, PF,1969,4,274,0.068,-0.1,10.9,0.463,-2.5
Larry Cannon, SG,1969,5,213,0.055,-0.3,14.8,0.482,-5.3
Bingo Smith, SG,1969,6,865,0.071,1.5,14.1,0.479,-1.6
Bob Portman, SG,1969,7,221,0.071,0,13,0.485,0
Herm Gilliam, SG,1969,8,578,0.066,2.2,13.8,0.474,-0.7
Butch Beard, PG,1969,10,605,0.11,8.8,15,0.54,1.6
Willie McCarter, SG,1969,12,155,-0.018,0,8.8,0.425,0
Mike Davis, PF,1969,14,8,0.235,0,21.1,0.486,-7.5
Rick Roberson, C,1969,15,423,0.068,0.1,13.2,0.476,-1.9
Simmie Hill, SF,1969,16,252,0.057,0,11.5,0.479,-2.1
Bob Greacen, SF,1969,17,47,-0.013,0,7.9,0.408,0
Ronald Taylor, C,1969,18,77,0.079,0,9.1,0.485,0
Willie Norwood, SF,1969,19,430,0.115,1.5,13.9,0.538,-0.8
Ken Spain, ,1969,20,11,0,0,5.2,0.407,0
Bernie Williams, SG,1969,21,283,0.015,-0.1,11.2,0.455,-9.8
Johnny Baum, SF,1969,23,244,0.081,-0.1,13.8,0.516,-2.5
Gene Williams, ,1969,24,1,-0.133,0,-22.7,0,0
Wally Anderzunas, SF,1969,25,44,-0.023,0,8.8,0.427,0
Bill Bunting, SF,1969,26,145,0.067,0,9.6,0.505,0
Willie Scott, ,1969,29,8,-0.065,0,-7.1,0.368,0
